"#","Reference","Value","Footprint","Qty","Manufacturer_Name","Manufacturer_Part_Number"
"1","C1,C3,C4,C5,C7,C10,C11,C13,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C33,C34","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","21","",""
"2","C2,C6,C9,C14,C27,C28,C29,C30,C39,C40,C41,C42,C43,C44","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","14","",""
"3","C8","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"4","C12,C16","100uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","",""
"5","C31,C32","33nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","",""
"6","C35,C36,C37,C38,C51,C52,C53,C54,C55,C56","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","",""
"7","C45,C46,C47","0u1F","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","",""
"8","C48,C49,C50","100pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","",""
"9","D1,D2,D4","LED","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3","",""
"10","D3","100V","Diode_SMD:D_SMA","1","",""
"11","H1,H2,H3,H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","4","",""
"12","J1","TYPE-C-31-M-12","Footprints:HRO_TYPE-C-31-M-12","1","",""
"13","J2","BME680","Connector_JST:JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical","1","",""
"14","J3","GPIO","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1","",""
"15","J4","PW_5V","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","",""
"16","J5","PW_3V3","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","",""
"17","J6","Micro_SD_Card_Det_Hirose_DM3AT","Connector_Card:microSD_HC_Hirose_DM3D-SF","1","",""
"18","J7","Stepper_1","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","",""
"19","J8","Stepper_2","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","",""
